83,15582,5,3,4,4,2,4.0,4.0,4.0,4.0,4.0,4
188,1102,5,4,4,5,5,4,4,3,4,3,4
188,1905,5,5,4,3,5,3,4,3,3,4,4
188,2122,4,3,1,3,1,4,4,3,4,3,3
188,3624,5,4,4,5,4,4,3,3,4,4,3
188,3715,3,3,2,2,4,4,4,4,3,4,3
188,4123,5,4,3,5,3,4,3,2,3,3,4
188,4356,4,3,4,3,4,4,3,4,4,4,3
188,5169,5,4,4,2,3,4,4,4,4,4,4
188,6844,3,5,4,3,4,3,4,4,3,4,2
188,7627,3,2,3,3,2,4,4,3,3,4,3
188,9426,5,5,4,5,5,4,4,3,4,4,4
188,10123,5,3,3,3,3,4,2,4,4,4,3
188,10820,3,3,4,5,5,4,4,4,4,3,4
188,13273,2,4,4,4,3,3,4,4,3,4,4
188,13580,4,5,4,4,5,3,3,4,4,4,4
188,14538,3,3,3,4,5,4,3,4,2,3,3
188,14590,3,4,5,4,4,3,4,4,4,2,4
188,14961,5,5,5,5,5,4,4,3,4,3,4
188,14978,5,4,3,5,4,4,4,4,4,3,3
188,15758,4,3,4,4,5,4,3,4,4,4,3
188,17328,5,5,5,4,5,4,4,4,4,4,3
633,4123,4,4,5,5,5,3,3,3.6666666666666665,3.6666666666666665,3.6666666666666665,5
633,6844,3,3,3,3,4,3,5,3.6666666666666665,3.6666666666666665,3.6666666666666665,3
633,10123,3,3,5,3,2,3,5,3.6666666666666665,3.6666666666666665,3.6666666666666665,3
1088,1905,4,5,5,5,5,5,4,1,3.75,3.75,5
1088,2452,4,5,5,5,4,5,1,4,3.75,3.75,5
1088,3824,4,4,3,3,1,5,5,4,3.75,3.75,1
1088,16711,5,4,4,5,5,5,5,1,3.75,3.75,4
1346,4883,5,4,4,3,3,5,5,5,5,5,5
1346,9828,4,3,5,4,4,5,5,5,5,5,5
1346,10123,3,4,3,5,4,5,5,5,5,5,5
1346,10359,5,4,4,4,2,5,5,5,5,5,5
1346,10820,4,5,5,4,5,5,5,5,5,5,5
1346,11265,4,3,4,1,5,5,5,5,5,5,5
1346,12280,5,3,5,4,5,5,5,5,5,5,5
1346,14538,5,4,5,4,4,5,5,5,5,5,5
1626,1902,3,3,4,5,2,5,3,5,4,4,2
1626,1905,4,4,4,4,3,5,3,1,5,2,4
1626,2122,4,4,5,2,5,5,4,5,3,4,2
1626,2173,4,3,5,3,5,4,5,4,5,5,3
1626,2452,5,3,5,5,4,4,5,3,2,2,5
1626,3538,2,2,2,5,3,1,4,4,5,5,1
1626,3824,5,2,4,5,4,2,5,5,4,4,5
1626,4356,4,3,3,4,5,4,5,5,4,4,3
1626,6366,4,4,5,3,4,4,5,2,5,1,3
